id,place,tweets,sentiment,longitude,latitude
1572456527109431296,"{'fullName': 'South East Sulawesi, Indonesia', 'name': 'South East Sulawesi', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}","sekaligus mengirimkan pesan kepada dunia bahwa ikn nusantara ini bukan sematamata memindahkan fisik ibu kota memindahkan fisik kantorkantor pemerintahan 

 sulawesi tenggara",,120.8647856,-6.218277
1572081399674572804,"{'fullName': 'Yogyakarta, Indonesia', 'name': 'Yogyakarta', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}","semoga cepat terwujud ibu kota baru ikn nusantara menjadi smart city
daerah istimewa yogyakarta mendukung pembangunan ikn",,110.006125,-8.206926
1572066184996192264,"{'fullName': 'Medan Sunggal, Indonesia', 'name': 'Medan Sunggal', 'type': 'city', 'country': 'Indonesia', 'countryCode': 'ID'}","pemindahan ibu kota ke ikn nusantara jadi wujud komitmen pemerintah dalam wujudkan pemerataan pembangunan

ayo dukung pembangunan ikn



sumatera utara",,98.6159887,3.5730188
1572065258449301504,"{'fullName': 'Medan Sunggal, Indonesia', 'name': 'Medan Sunggal', 'type': 'city', 'country': 'Indonesia', 'countryCode': 'ID'}","pemindahan ibu kota ke ikn nusantara ini berikan dampak positif pada perekonomian indonesia

ayo dukung pembangunan ikn



sumatera utara",,98.6159887,3.5730188
1571839205827055623,"{'fullName': 'Oakwood Apartments PIK Jakarta', 'name': 'Oakwood Apartments PIK Jakarta', 'type': 'poi', 'country': 'Indonesia', 'countryCode': 'ID'}",ibu kota negara ikn nusantara di kalimantan timur akan menerapkan konsep cerdas dan berkelanjutan nantinya di ikn nusantara hanya akan ada kendaraan ramah lingkungan,,106.73904955387115,-6.102177865920576
1571761189671284736,"{'fullName': 'Adikara Motor', 'name': 'Adikara Motor', 'type': 'poi', 'country': 'Indonesia', 'countryCode': 'ID'}",ibu kota negara baru  adalah kota yang akan merefleksikan indonesia yaitu nusantara sentris  nusantara milik kita bersama,,106.151792,-6.12759
1571743594498891777,"{'fullName': 'Papua, Indonesia', 'name': 'Papua', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}","kepala otorita ibu kota nusantara mendukung pembagunan ikn





papua mendukung pembagunan ikn",,134.505904,-9.1457534
1571428558253486080,"{'fullName': 'Lempah Kuning Tebing Sampur', 'name': 'Lempah Kuning Tebing Sampur', 'type': 'poi', 'country': 'Indonesia', 'countryCode': 'ID'}","ibu kota negara nusantara akan membawa dampak positif dari segala sektor terutama sektor perekonomian yang merata



kepulauan bangka belitung",,106.17412,-2.1529844
1571418262612889603,"{'fullName': 'Pasar Tradisional Panorama', 'name': 'Pasar Tradisional Panorama', 'type': 'poi', 'country': 'Indonesia', 'countryCode': 'ID'}","kehadiran ibu kota negara ikn nusantara bakal memberikan dampak yang luar biasa bagi pertumbuhan ekonomi dan daya beli masyarakat 




bengkulu",,102.29897975921631,-3.817581960012334
1571400989277822976,"{'fullName': 'West Papua, Indonesia', 'name': 'West Papua', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}",dukung pembangunan ibu kota negara baru kabiro pengelolaan bmn kunjungi ikn nusantara,,129.298158,-4.31892
1571164284172005378,"{'fullName': 'Talang Kelapa, Indonesia', 'name': 'Talang Kelapa', 'type': 'city', 'country': 'Indonesia', 'countryCode': 'ID'}","dukung pembangunan ibu kota nusantara ikn di penajam paser utara kalimantan timur



info lampung",,104.36966,-2.955796
1571071557132492802,"{'fullName': 'Taktakan, Indonesia', 'name': 'Taktakan', 'type': 'city', 'country': 'Indonesia', 'countryCode': 'ID'}","banyak support dan dukungan terhadap ibu kota nusantara termasuk dari forum duta wisata balikpapan
wong banten dukung penuh ikn nusantara",,106.071077,-6.173101
1571046685853483010,"{'fullName': 'Lapangan Molintogupo', 'name': 'Lapangan Molintogupo', 'type': 'poi', 'country': 'Indonesia', 'countryCode': 'ID'}",ikn nusantara optimis majukan indonesia baik ekonomi maupun pemerataan infrastruktur dan tentunya juga menjadi ibu kota negara yang kuat pertahanan dan keamanannya,,123.14734638599806,0.5324064698544309
1570769885478924288,"{'fullName': 'Taktakan, Indonesia', 'name': 'Taktakan', 'type': 'city', 'country': 'Indonesia', 'countryCode': 'ID'}","banyak tokoh agama yang mendukung pembangunan ibu kota nusantara
wong banten dukung penuh ikn nusantara",,106.071077,-6.173101
1570767712447766531,"{'fullName': 'Lampung, Indonesia', 'name': 'Lampung', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}","dukung pembangunan ibu kota nusantara ikn di penajam paser utara kalimantan timur

siput lampung",,103.527319,-5.980556
1570732619880595457,"{'fullName': 'South East Sulawesi, Indonesia', 'name': 'South East Sulawesi', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}",ikn ibu kota negara indonesia yang baru yang diberi nama nusantara masih dalam proses pembangunan,,120.8647856,-6.218277
1570707135528603650,"{'fullName': 'Taktakan, Indonesia', 'name': 'Taktakan', 'type': 'city', 'country': 'Indonesia', 'countryCode': 'ID'}","banyak support dan dukungan untuk pembangunan ibu kota nusantara khususnya dari ketua pwnu kalimantan timur
wong banten dukung penuh ikn nusantara",,106.071077,-6.173101
1570704816841818112,"{'fullName': 'West Papua, Indonesia', 'name': 'West Papua', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}",dukung pemindahan ibu kota gerakan nasional nusantara mengaji gelar selamatan  tumpeng di ikn,,129.298158,-4.31892
