id,tweets,sentiment
1586133976246210561,"Menampilkan Presiden Jokowi versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital Dlam video tersebut, Presiden Jokowi juga mengajak para generasi muda untk bersatu, bertepatn dengan momen Hari Sumpah Pemuda ",
1586133917085577216,"Setelah itu, layar menampilkan Presiden Jokowi versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital 

",
1586132422139473922,Plt Sesmenpora Jonni Mardizal mengatakan bahwa beliau telah membuka secara resmi kemah pemuda Indonesia di Ibu Kota Nusantara   ,
1586130961242423296,Plt Sesmenpora Jonni Mardizal membuka secara resmi kemah pemuda Indonesia di Ibu Kota Nusantara   ,
1586130837807845376,"Plt Sesmenpora Jonni Mardizal membuka secara resmi kemah pemuda Indonesia di Ibu Kota Nusantara  
Semoga berjalan dengan lancar ",
1586130806329647105,Plt Sesmenpora Jonni Mardizal telah membuka secara resmi kemah pemuda Indonesia di Ibu Kota Nusantara   ,
1586130756791066624,Plt Sesmenpora Jonni Mardizal telah membuka secara resmi kemah pemuda  Indonesia yang diadakan di Ibu Kota Nusantara   ,
1586130736142114817,Plt Sesmenpora Jonni Mardizal membuka secara resmi dalam acara untuk berkemah pemuda Indonesia di Ibu Kota Nusantara   ,
1586130700780068869,"Plt Sesmenpora Jonni Mardizal membuka secara resmi kemah pemuda Indonesia di Ibu Kota Nusantara  
 ",
1586130696137056257,"Plt Sesmenpora Jonni Mardizal membuka secara resmi kemah pemuda Indonesia di Ibu Kota Nusantara  
Pasti seru banget nih ",
1586130693565792256,"Sangat bermakna banget nih dengan dibukanya kemah ini, Plt Sesmenpora Jonni Mardizal membuka secara resmi kemah pemuda Indonesia di Ibu Kota Nusantara  

 ",
1586130283371253760,Plt Sesmenpora Jonni Mardizal membuka secara resmi kemah pemuda Indonesia di Ibu Kota Nusantara ya   ,
1586130160897515521,Ini plt Sesmenpora Jonni Mardizal membuka secara resmi kemah pemuda Indonesia di Ibu Kota Nusantara   ,
1586130109404131328,Plt Sesmenpora Jonni Mardizal membuka secara resmi kemah pemuda Indonesia di Ibu Kota Nusantara y   ,
1586122315640602624,", Ketua KPU Hasyim Asyari mengikuti secara daring Puncak Peringatan Hari Sumpah Pemuda ke94 Tahun 2022, yang disiarkan langsung dari titik nol, Ibu Kota Negara IKN Nusantara, Kalimantan Timur, Jumat 28102022 


 ",
1586122021112406016,Hayo ngacung yang nolak dan juga yang nyinyirin pembangunan Ibu Kota Negara Nusantara ,
1586118513089212416,"Peluncuran itu ditandai dengan penekanan tombol oleh Jokowi didampingi Kepala Badan Otorita Ibu Kota Nusantara IKN Bambang Susantono dan Founding Chairman Jagat Wishnutama Kusubandio
 
 ",
