date,id,tweets,sentiment,processed_tweets
2022-10-29,1586388162049282049,"bendungan sepaku nantinya sangat berperan penting untuk ibu kota nusantara amp balikpapan

 gas pol infrastruktur",,"bendungan sepaku berperan amp balikpapan

 gas pol infrastruktur"
2022-10-29,1586376917942702081,setibanya di pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara presiden dan rombongan akan menuju titik nol  ibu kota nusantara ikn yang ada di kabupaten penajam paser utara,,pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara rombongan  kabupaten penajam paser utara
2022-10-29,1586373335729872896,jagat hadirkan dunia virtual ibu kota nusantara,,jagat hadirkan dunia virtual kota nusantara
2022-10-29,1586372146460184576,presiden  amp para pemuda memasuki ibu kota nusantara ikn versi digitallalu mengajak mereka bersatu di hari sumpah pemuda adegan itu tampil di layar saat presiden meluncurkan platform digital berbasis interaksi sosial di dunia virtual jagat nusantara jumat,, amp pemuda memasuki versi digitallalu mengajak bersatu sumpah pemuda adegan tampil layar meluncurkan platform digital berbasis interaksi sosial dunia virtual jagat jumat
2022-10-29,1586369578451730435,presiden jokowi mengajak para pemuda memasuki ibu kota nusantara versi digitallalu mengajak mereka bersatu di hari sumpah pemuda itu adalah adegan di layar saat presiden meluncurkan platform digital berbasis interaksi sosial di dunia virtual jagat nusantarajumat,,mengajak pemuda memasuki versi digitallalu mengajak bersatu sumpah pemuda adegan layar meluncurkan platform digital berbasis interaksi sosial dunia virtual jagat nusantarajumat
2022-10-29,1586360833986400257,tenaga kerja di ibu kota nusantara disesuaikan dengan kebutuhan pemerintah juga menyiapkan melalui pelatihanpelatihan baik di balai pelatihan vokasi samarinda maupun balai pelatihan vokasi lainnya,,tenaga kerja disesuaikan kebutuhan pelatihanpelatihan balai pelatihan vokasi samarinda balai pelatihan vokasi
2022-10-29,1586352313785978880,para seniman tanah air juga dapat berkreasi dan menikmati hasilnya seperti konser musik kita juga bisa berolahraga akan menjadi pengalaman bersama yang seru ayo generasi muda mari kita membangun ibu kota nusantara bersama melalui inovasi dan kreativitas ungkap presiden,,seniman air berkreasi menikmati hasilnya konser musik berolahraga pengalaman seru ayo generasi muda mari membangun inovasi kreativitas
2022-10-29,1586350995600121856,"dengan mengucapkan bismillahirahmanirrahim pada sore hari ini secara resmi saya luncurkan jagat nusantara ujar presiden 

setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital",,"bismillahirahmanirrahim sore resmi luncurkan jagat 

setelah layar menampilkan versi avatar mengajak peserta memasuki versi digital"
2022-10-29,1586346857902804993,presiden  meluncurkan platform dunia digital atau metaverse yang terhubung dengan ibu kota nusantara ikn platform dunia digital ini bernama jagat nusantara platform ini diluncurkan bertepatan dengan hari sumpah pemuda yaitu pada tanggal  oktober,, meluncurkan platform dunia digital metaverse terhubung platform dunia digital bernama jagat platform diluncurkan bertepatan sumpah pemuda tanggal  oktober
2022-10-29,1586344865167990784,luncurkan platform digital jagat nusantara presiden jokowi selamat datang di ibu kota nusantara askara  presiden joko widodo meluncurkan platform digital berbasis interaksi sosial di dunia virtual bernama jagat nusantara acara peluncuran tersebut,,luncurkan platform digital jagat selamat askara  meluncurkan platform digital berbasis interaksi sosial dunia virtual bernama jagat acara peluncuran
2022-10-29,1586332808561430529,turut hadir dalam acara tersebut yaitu menteri sek negara pratikno menteri bumn erick thohir menteri koperasi amp usaha kecil menengah teten masduki wakil menteri pariwisata amp ekonomi kreatif angela tanoesoedibjo dan kepala badan otorita ibu kota nusantara bambang susantono,,hadir acara menteri sek pratikno menteri bumn erick thohir menteri koperasi amp usaha menengah teten masduki wakil menteri pariwisata amp ekonomi kreatif angela tanoesoedibjo badan bambang susantono
2022-10-29,1586332664692236288,"tinjau pembangunan infrastruktur ikn presiden jokowi ini progres yang baik

presiden jokowi meninjau pembangunan infrastruktur kawasan ibu kota nusantara ikn di kabupaten penajam paser utara provinsi kalimantan timur pada selasa  oktober",,"tinjau infrastruktur progres baik

presiden meninjau infrastruktur kabupaten penajam paser utara provinsi selasa  oktober"
2022-10-29,1586331041505345536,luncurkan ikn versi virtualjokowi selamat datang di ibu kota nusantara,,luncurkan versi virtualjokowi selamat
2022-10-29,1586325433313742849,selasa  oktober  presiden jokowi mengunjungi ibu kota nusantara ikn melalui jalur laut dengan menggunakan kri escolar   jarak dari pelabuhan semayang kota balikpapan ke pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara ditempuh selama  jam,,selasa  oktober  mengunjungi jalur laut kri escolar   jarak pelabuhan semayang balikpapan pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara ditempuh  jam
2022-10-29,1586324825160617984,makan tu iknibu kota nusantarahahahakalau nkri ibu kota nya dki jakartabro,,makan tu iknibu nusantarahahahakalau nkri nya dki jakartabro
2022-10-29,1586312950687887360,"presiden  versi avatar  mengajak para peserta memasuki ibu kota nusantara ikn versi digital saat luncurkan platform digital jagat nusantara

keren yaa",," versi avatar  mengajak peserta memasuki versi digital luncurkan platform digital jagat nusantara

keren yaa"
2022-10-29,1586311965886251008,info lagii kalian udh bisa jalanjalan ke ibu kota nusantara secara virtual lewat jagat gaslah mumpung masih gratis heheh,,info lagii udh jalanjalan virtual jagat gaslah mumpung gratis heheh
2022-10-29,1586311962539208704,wah bangga banget sekarang ada aplikasi dunia virtual pertama di indonesia kapan lagi ya kan kalian bisa jalan jalan ke ibu kota nusantara lewat aplikasi jagat,,bangga banget aplikasi dunia virtual ya jalan jalan aplikasi jagat
2022-10-29,1586298539964960768,mudah an berbalikikn itu ibu kota nusantarakalau nkri ibukota nya dki jakartasilahkan gubernur mau nya apa silahkan jangan keluarin sumpah serapahkalau orang di pulau jawa ngeluarin sumpah palapa gimanamau apa elunanti penghuni nya wna china disana,,mudah an berbalikikn nusantarakalau nkri ibukota nya dki jakartasilahkan gubernur nya silahkan keluarin sumpah serapahkalau orang pulau jawa ngeluarin sumpah palapa gimanamau elunanti penghuni nya wna china disana
2022-10-29,1586298203036876800,"dengan mengucapkan bismillahirahmanirrahim pada sore hari ini secara resmi saya luncurkan jagat nusantara ujar presiden jokowi

setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital",,"bismillahirahmanirrahim sore resmi luncurkan jagat jokowi

setelah layar menampilkan versi avatar mengajak peserta memasuki versi digital"
2022-10-29,1586287474074157057,menteri bumn erick thohir meminta jangan ada persepsi pemerintah pusat meninggalkan dki jakarta lantaran ada program ibu kota baru ikn nusantara,,menteri bumn erick thohir persepsi pusat meninggalkan dki jakarta lantaran program
2022-10-29,1586281829853966336,setidaknya kini sudah ada  perusahaan rintisan yang memiliki dunia virtual di platform yang terhubung dengan ibu kota nusantara ikn itu,, perusahaan rintisan memiliki dunia virtual platform terhubung
2022-10-29,1586266266284662784,"jagatio merupakan platforn dunia virtual pertama di indonesia yang terhubung dengan kota nyata yakni ibu kota nusantara ikn 
sumatera utara",,"jagatio platforn dunia virtual terhubung nyata 
sumatera utara"
