source,target,source_name,target_name
1.52067e+18,1.37134e+18,CumaCucunya,AliBej0
1.52067e+18,1.05065e+18,Bukan_Lurah01,AntaraEnglish
1.35695e+18,1.41432e+18,tonisetiawann8,r_amdhann
1.54925e+18,379288910.0,hrlmm2110,pengarang_sajak
1.48735e+18,1.39955e+18,SenaMilia,IKNnusantaraID
1.48769e+18,1.39955e+18,NurulMoein,IKNnusantaraID
1.03327e+18,1.41053e+18,Saharud65305790,Maya83206301
1.21329e+18,1.53553e+18,IndraM22416683,FerdinandHutah4
2275754838.0,180117966.0,quineeching,kkkslj2
1.51194e+18,922669790.0,juliaarrtt,KotaNusantara
1.48769e+18,413888550.0,NurulMoein,abangbelneg
1.38576e+18,1721887027.0,MelatiLela,khair_81366
1.43467e+18,371261655.0,nabraqz,ObiWan_Catnobi
2858245052.0,1.39571e+18,Poermansyah_M,Budionotaslim3
1.55147e+18,1.3188e+18,DantoDanzo,HakikiGabut
1.49708e+18,1.39955e+18,JunaJuni123,IKNnusantaraID
1.33333e+18,1.39955e+18,dewisuci510,IKNnusantaraID
1.48438e+18,1.39955e+18,asxzcv5,IKNnusantaraID
1.50039e+18,1.31708e+18,LSasahi,NurilHiLma2022
1.48437e+18,922669790.0,greguti3,KotaNusantara
1.50698e+18,922669790.0,yurikanamnam,KotaNusantara
1.23109e+18,7.23813e+17,NogoSosroAsli,lizaariani5
1.08182e+18,176013734.0,chaerrotjooice,melissahannn
1.50175e+18,413888550.0,RadiGhozali,abangbelneg
1.49897e+18,413888550.0,SarazLiendha,abangbelneg
1.48878e+18,1.39955e+18,Yuan57443697,IKNnusantaraID
1.48447e+18,1.39955e+18,rikylee20,IKNnusantaraID
1.48207e+18,1.23122e+18,jangagate,TomCruzz555
1.4855e+18,2295629636.0,DadangSudirma,KelestarianAlam
1.49759e+18,2295629636.0,lutfiansyahi1,KelestarianAlam
1.48437e+18,2295629636.0,gyujh06606181,KelestarianAlam
1.4855e+18,413888550.0,KurniaSilla,abangbelneg
38759449.0,318839198.0,cheekybobii,dhrnrssy
1.44023e+18,413888550.0,PapuaWonderfull,abangbelneg
493123593.0,1.35087e+18,adengnrian,maspiyuaja
26925461.0,110312278.0,arnold5508,aniesbaswedan
1.25474e+18,1.26486e+18,_ekopri,Wirayana12
1.48957e+18,413888550.0,RisanMarine,abangbelneg
1.5166e+18,413888550.0,namsyurdn,abangbelneg
1.49707e+18,413888550.0,ArdiRamdona,abangbelneg
1.4855e+18,1.39955e+18,KurniaSilla,IKNnusantaraID
1.14309e+18,322559270.0,Ranisor,forjakeu
1.44023e+18,1.39955e+18,PapuaWonderfull,IKNnusantaraID
1.34649e+18,1.2438e+18,UsniErlangga,democrazymedia
1.42126e+18,2928583759.0,DadangAbdulla13,ChusnulCh__
1.53673e+18,18129942.0,joyboy5m,tempodotco
1.53653e+18,154102750.0,yeriluv03,Beritasatu
1.28614e+18,1.52855e+18,hardisetia001,BasoAhmad14
2360845212.0,50682651.0,gabbatmaja,zarazettirazr
1.48583e+18,1.39955e+18,NimanaTita,IKNnusantaraID
1295380140.0,1.01459e+18,bathroomsiinger,hyang_wisnu
1.49707e+18,1.39955e+18,AndriRyogo,IKNnusantaraID
496693483.0,1655639492.0,satriadjenar,DChusaeri
1.35701e+18,1.50543e+18,DesiRahayuPutr1,Ramlyccc
1.35697e+18,1.50543e+18,YanuarZaraa,Ramlyccc
1.51224e+18,922669790.0,9ebbbyyy,KotaNusantara
1.44023e+18,922669790.0,PapuaWonderfull,KotaNusantara
8.01347e+17,200448287.0,rhnbr98,adepedia
1.46242e+18,1.29954e+18,TerryPu56389900,indhmstika
433486992.0,1.29954e+18,safer_kirkuk,indhmstika
1.53653e+18,124171593.0,yeriluv03,tribunnews
1.09409e+18,1.25454e+18,bersenang12,AbdumuminovArif
9.53529e+17,1.50732e+18,damarjati_dimas,igusaseiji88
1.48618e+18,1417384298.0,DessitaHapsari,NusaLestarie
1.51224e+18,353558175.0,9ebbbyyy,NatureApproach
1.48407e+18,353558175.0,bilqizameliani,NatureApproach
1.50698e+18,353558175.0,yurikanamnam,NatureApproach
1.33852e+18,366987179.0,GrithsMr,jokowi
52363214.0,183217247.0,ekurnia82,budimandjatmiko
230466525.0,8.24493e+17,sdsdkkk,weabooakut
1.42804e+18,4780649298.0,roder45070212,Dennysiregar7
628487339.0,9.60362e+17,MadanJumper,aly_nm_
1.52501e+18,1.40211e+18,SelasarT,infonetizen2
1.53653e+18,23343960.0,rinairin965,kompascom
628487339.0,113011392.0,MadanJumper,fafifuwaswesw0s
2307889555.0,983931396.0,yulrarara,BukanOpposite99
1.38582e+18,983931396.0,narabiaga,BukanOpposite99
1.49749e+18,983931396.0,JulfianMahardi1,BukanOpposite99
1.48618e+18,1.39955e+18,DessitaHapsari,IKNnusantaraID
1.53546e+18,1.52633e+18,Putrisejagat7,Sitisai2
2897190505.0,1.53689e+18,yulitya92,YuliHarun2
1.49856e+18,922669790.0,AnaSire9ar,KotaNusantara
1.53127e+18,1.52856e+18,arianto_aris2,IndahPu41252379
1.50699e+18,922669790.0,hunhun70003540,KotaNusantara
408491772.0,236737137.0,DanangSuuu,pastiberlaluu
1.44469e+18,1.249e+18,Koes_123,Gojekmilitan
1.48958e+18,413888550.0,BinaAndreina,abangbelneg
1.06546e+18,1.24513e+18,ray_tuti,think_gus
1.48437e+18,413888550.0,iuytr11663393,abangbelneg
433486992.0,1.35686e+18,safer_kirkuk,ToriFach
1.47494e+18,17128975.0,Mbahhardiman,CNNIndonesia
1.47494e+18,1.13289e+18,Mbahhardiman,Dorraemon_
1.49897e+18,1.39955e+18,SarazLiendha,IKNnusantaraID
1.53167e+18,1.3623e+18,ArnotoSuryo,MahmudRusda
370613791.0,1.22293e+18,Latif54Latif,idextratime
1.29402e+18,1.41087e+18,fdentamayall99,puanmaharani_ri
1.53063e+18,1.41087e+18,JohanSulistyo7,puanmaharani_ri
1.53084e+18,1.41087e+18,AryaSanjaya0,puanmaharani_ri
1.51093e+18,1.01459e+18,Rizky2Ratu,hyang_wisnu
1.50121e+18,45602536.0,FajarSuwandi9,GunRomli
9.32658e+17,8.82811e+17,staysaferek,ignust62
1.53669e+18,1.41087e+18,kayla0776,puanmaharani_ri
267195658.0,1.53635e+18,yhendarsyah,sofiafia2224
1404875023.0,1.46248e+18,Nunutw,AlkamsiAlkamsi5
3152268175.0,1.11454e+18,Nandasanrak,Pandhilalip
9.93652e+17,956391925.0,yuli_bantgpdip,komburmamak
9.93652e+17,267195658.0,yuli_bantgpdip,yhendarsyah
1.48696e+18,1.1688e+18,ramdani0348,ElvinaNara
1.49856e+18,1.39955e+18,AnaSire9ar,IKNnusantaraID
1.42804e+18,30201110.0,roder45070212,alisyarief
1.49968e+18,1.39955e+18,finaaaudina,IKNnusantaraID
1.53421e+18,1.41087e+18,AurelTritania,puanmaharani_ri
1446334819.0,1.22293e+18,PeterAntonius15,idextratime
956391925.0,1.41087e+18,komburmamak,puanmaharani_ri
65001300.0,7.19726e+17,mowglindo,marlina_idha
1.48962e+18,2295629636.0,Genvine2,KelestarianAlam
1.08174e+18,9.28309e+17,VladD_Anger,AREAJULID
73354161.0,1.43415e+18,yazixchi,DumpalCandi17
267195658.0,1.41087e+18,yhendarsyah,puanmaharani_ri
1.51695e+18,1.1688e+18,masyahrianaa,ElvinaNara
9.70291e+17,1.39691e+18,la_suha,SilviAndriana1
1.33333e+18,413888550.0,dewisuci510,abangbelneg
1.48554e+18,413888550.0,WikeHimawan,abangbelneg
7.20075e+17,138290629.0,Whiz_id999,DivHumas_Polri
1.48554e+18,1.1688e+18,WikeHimawan,ElvinaNara
1.50355e+18,1.1688e+18,DefiJhon,ElvinaNara
1.51695e+18,1.39955e+18,masyahrianaa,IKNnusantaraID
1.49461e+18,1.39955e+18,bagushape1,IKNnusantaraID
